name,type_unparsed,length_unparsed,type,length,table_Id
ABM_IndexBaseYear_Obj,PA0292:pA:6fe327e70af44c189469b5264fb166db,0,char,60,0
AIndex,PA0292:pA:1d4b0050b546478286b54bda2d6b0a3e,0,char,6,0
BasisJahr,PA0292:pA:d91bb079fd4c45158b33b7aad265609b,0,int,4,0
AB_BuchInfo_Obj,PA0292:pA:6fe327e70af44c189469b5264fb166db,0,char,60,1
AfA,PA0292:pA:cd0feff40c8f486b824857211b247ae4,0,int,3,1
Betrag,PA0292:pA:742a46a190db494eb1dead752c13eb97,0,dec,15,1
Buchung,PA0292:pA:843a6f1c10dc40bfb8401ee5cc3f7888,0,dec,9,1
EreignisNr,PA0292:pA:d541fb0ec5e745e687ad08872b519036,0,int,4,1
Eurokonvertierung,PA0292:pA:c4f36f662b944a8a828190a5b11e9f65,0,log,,1
Firma,PA0292:pA:edc7499f77fa4afea345afcb61123514,0,char,10,1
Funktion,PA0292:pA:e11d3183a6ae48a19aa860b4a09f1304,0,char,3,1
Konto,PA0292:pA:f42ff755fa0bb98bdc1183c304eaf8e7,0,int,8,1
OrdnungsNr,PA0292:pA:484dbacf5b65434ba4ac535c64aaeb2f,0,int,7,1
AB_Buchung_Obj,PA0292:pA:6fe327e70af44c189469b5264fb166db,0,char,60,2
AfA,PA0292:pA:cd0feff40c8f486b824857211b247ae4,0,int,3,2
AnFibu,PA0292:pA:9020ee54a83c4cd1b7daeaa38af4240b,0,log,,2
AnKore,PA0292:pA:3558c91cd19c45c68cbd8bdae3556100,0,log,,2
Anlage,PA0292:pA:e98ae08043fb405e96b60764265338d0,0,char,20,2
Bereich,PA0292:pA:b17d43616a2a44ca9077a6e46efd1e77,0,char,3,2
Betrag,PA0292:pA:742a46a190db494eb1dead752c13eb97,0,dec,15,2
Buchung,PA0292:pA:843a6f1c10dc40bfb8401ee5cc3f7888,0,dec,9,2
BuchungsJahr,PA0292:pA:1044a5fdd51045f0806207541d0b223b,0,dec,4,2
Buchungsperiode,PA0292:pA:629421f9e0b548c3a8d3e55eba85a998,0,int,2,2
EreignisNr,PA0292:pA:d541fb0ec5e745e687ad08872b519036,0,int,4,2
Eurokonvertierung,PA0292:pA:c4f36f662b944a8a828190a5b11e9f65,0,log,,2
Firma,PA0292:pA:edc7499f77fa4afea345afcb61123514,0,char,10,2
Funktion,PA0292:pA:e11d3183a6ae48a19aa860b4a09f1304,0,char,3,2
Konto,PA0292:pA:f42ff755fa0bb98bdc1183c304eaf8e7,0,int,8,2
KostenStelle,PA0292:pA:76b1d32d965948998eff1a7092701725,0,int,8,2
Menge,PA0292:pA:fa3e86ac45e64a978cfbaa1dc75937b8,0,dec,12,2
SH_Kennung,PA0292:pA:d017fac8bbed4daca7adbdaef761356c,0,log,,2
Storniert,PA0292:pA:3b9d18d20c884843b64797788ea01831,0,log,,2
StornoBuchung,PA0292:pA:9ce9304bd81746fb99e18b37c92cc151,0,dec,11,2
StornoVorgang,PA0292:pA:18b01709608947a987287547a5ff4933,0,dec,7,2
Vorgang,PA0292:pA:41a99307cef04a75a679f2ae7a38699a,0,dec,7,2
AB_BuchungBezug_Obj,PA0292:pA:6fe327e70af44c189469b5264fb166db,0,char,60,3
Buchung,PA0292:pA:843a6f1c10dc40bfb8401ee5cc3f7888,0,dec,9,3
BuchungsBezug,PA0292:pA:556c1840d6414803909182582b43f893,0,dec,9,3
Firma,PA0292:pA:edc7499f77fa4afea345afcb61123514,0,char,10,3
AB_Ereignis_Obj,PA0292:pA:6fe327e70af44c189469b5264fb166db,0,char,60,4
AenderungBenutzer,PA0292:pA:e8e96d1d8d2b471ab168d21986daf136,0,char,12,4
