paIsTranslatable,FORMAT,INITIAL,MANDATORY,DECIMALS,paDecimalInformation,EXTENT,paDescriptionACM,paDomainType,LOB-SIZE,CLOB-CODEPAGE,paIsBlockable,CASE-SENSITIVE,paDomainSubType,DATA-TYPE,CLOB-COLLATION,CLOB-TYPE,name,id,parent,schema_Id
"","","","","","","","","","","","","","","","",""," Identifier (int)","PA0292:pA:9fec6f12672446f3a391de86d61aaaf9","PA0292:pA:57d043bdbcf442dab943fcf841884abf",0
"","\nzzzzz9\n","","","","","","","","","","","","","","",""," TBD (integer)","PA0292:pA:23ab35b978334d2e889f3bd030bf9ffb","PA0292:pA:d51b7f5d99848193db11d905e2061290",0
"\nno\n","","","","","","","","","","","","","","","","","# of Calls","PA0292:pA:c7691e88b2922d87e1112ce5694bee3c","PA0292:pA:c1a5a3080d6e1e89df11d1eb17781817",0
"","\nzzzzzzzz9\n","\n?\n","\nno\n","","","","","","","","","","","","","","# of Characters","PA0292:pA:0a0e81539c624342b3a257c878e6d302","PA0292:pA:f9ba2886b21d8e9cdc11b0c52e41b4fb",0
"","\nzz9\n","","","","","","","","","","","","","","","","# of Characters [z3]","PA0292:pA:cdc45ac3e804ad82e211786596a531ab","PA0292:pA:0a0e81539c624342b3a257c878e6d302",0
"","\nzz9\n","\n999\n","","","","","","","","","","","","","","","# of Instances","PA0292:pA:ed16a58fdacb416a83fd0f7e873ffa09","PA0292:pA:85f79f2297bb59b2db110c08bdc52853",0
"","","\n1\n","","","","","","","","","","","","","","","#Copies","PA0292:pA:6aa37a62cd5e42d0b58f428c1eacf934","PA0292:pA:f9ba2886b21d8e9cdc11b0c5b67d168a",0
"","","","","","","","","","","","","","","","","","#CopiesRelease","PA0292:pA:85bc2cf048e7e9b0db115b54641f0014","PA0292:pA:4e2b6e93c19a40f39146faf37ee7899e",0
"","","","","","","","","","","","","","","","","","#DocumentPos","PA0292:pA:95ac5b41216542a09fccb431aaec3492","PA0292:pA:c5e3d1dbc0a84849856309caff9d40c9",0
"","","","","","","","","","","","","","","","","","#Files","PA0292:pA:4cf31229c3ee4401a263b281bffeee31","PA0292:pA:c5e3d1dbc0a84849856309caff9d40c9",0
"","","","","","","","","","","","","","","","","","#GPDProcesses","PA0292:pA:2568ea6a154c48d5aa6ddcb2281262fd","PA0292:pA:c5e3d1dbc0a84849856309caff9d40c9",0
"","","","","","","","","","","","","","","","","","#ofDecimals","PA0292:pA:08672645a6564669a1baa526d34d3efb","PA0292:pA:f9ba2886b21d8e9cdc11b0c5efa0bea3",0
"","","\n2\n","","","","","","","","","","","","","","","#ofDecimals (Currency)","PA0292:pA:d8ee1d4951244f82a92212506d793a65","PA0292:pA:08672645a6564669a1baa526d34d3efb",0
"","","","","","","","","","","","","","","","","","#ofDecimals (Storage)","PA0292:pA:b075807c96554078a0ff33fff848959b","PA0292:pA:08672645a6564669a1baa526d34d3efb",0
"","","\n1\n","","","","","","","","","","","","","","","#Output Copies","PA0292:pA:4e2b6e93c19a40f39146faf37ee7899e","PA0292:pA:f9ba2886b21d8e9cdc11b0c5efa0bea3",0
"","","","","","","","","","","","","","","","","","% Rabatt/Zuschlag","PA0292:pA:8ce4229da4024976ad75324569e8abd5","PA0292:pA:04390fbb9c5c4a0888c1d7730f8b8bc2",0
"","","","","","","","","","","","","","","","","","%Rab-/ZuArt #","PA0292:pA:1c1a40c4c34c42cf868c516c574492e2","PA0292:pA:805062bae13346b89ff87e50cff6ef8f",0
"","\nx(8)\n","","","","","","","","","","","","","","","","ab Menge (DATANORM)","PA0292:pA:be4cae9c685d4b8193644e9a7455c124","PA0292:pA:b7375ab07eb80192da114fc5b9640080",0
"","\nzzz9\n","","","","","","","","","","","","","","","","ab Monat (zzz9)","PA0292:pA:c549b40ffb1443a4ae05f01e151a6b19","PA0292:pA:950b9127b20341ca9f9c2104ca27c34d",0
"","","","","","","","","","","","","","","","","","ab Normierungswert","PA0292:pA:2f8f1192584a4310a3f846ad72c64c9b","PA0292:pA:711b76f6ff51418c8de8c04870e3645a",0
"","\nx\n","\n-\n","","","","","","","","","","","","","","","ABC-Class","PA0292:pA:fac8a987ec0a4a33a7140353e499f354","PA0292:pA:d0c054c48e109b8ddb11e2050af5dd39",0
"","\nx(12)\n","","","","","","","","","","","","","","","","ABL Object (Name)","PA0292:pA:8254094e4af549aa973b18d984979230","PA0292:pA:5a367edebb684d49a0cbee94bb686ae0",0
"","\nx(40)\n","","","","","","","","","","","","","","","","ABL Program (Path/Name)","PA0292:pA:35165070f2d64cb89eb164e0e1d7f4e7","PA0292:pA:5a367edebb684d49a0cbee94bb686ae0",0
"\nno\n","","","","","","","","","","","","","","","","","ABL Program [nt]","PA0292:pA:0e41b24c730347e199a7fff4e36bf683","PA0292:pA:35165070f2d64cb89eb164e0e1d7f4e7",0
"\nno\n","\nx(255)\n","","","","","","","","","","","","","","","","ABL-Code Snipplet","PA0292:pA:0ada83310d91446b915a7d6712b4f08a","PA0292:pA:b7375ab07eb80192da1164c5c4279532",0
"","","","","","","","","","","","","","","","","","Abrufzeit","PA0292:pA:fcf4f35140604574b6f1bc3a70ba0e04","PA0292:pA:3ed202507d3649d3a951b219c5ec9856",0
"","\nzz9\n","","","","","","","","","","","","","","","","Abschreibungsart","PA0292:pA:cd0feff40c8f486b824857211b247ae4","PA0292:pA:c028c23d116d4fe7a861496e2f7c2e28",0
"","","","","","","","","","","","","","","","","","absoluter Zuschlag bwl fix","PA0292:pA:16c0b1342b1148f7ab5f4228594f4032","PA0292:pA:1ce9ec76f0d74ad781ec2ebc43d88edd",0
"","","","","","","","","","","","","","","","","","absoluter Zuschlag bwl var","PA0292:pA:9f41a9dc886c470983c9d609160538b2","PA0292:pA:1ce9ec76f0d74ad781ec2ebc43d88edd",0
"","","","","","","","","","","","","","","","","","absoluter Zuschlag steu fix","PA0292:pA:86ff8a2595a749d49079dd8f0fa59f13","PA0292:pA:1ce9ec76f0d74ad781ec2ebc43d88edd",0
"","","","","","","","","","","","","","","","","","absoluter Zuschlag steu var","PA0292:pA:3e6c44b562af40b9a893dda37a66b6e9","PA0292:pA:1ce9ec76f0d74ad781ec2ebc43d88edd",0
