child_column,parent_column,fk_Id
"Firma","Firma",0
"Buchung","Buchung",0
"Firma","Firma",1
"Vorgang","Vorgang",1
"Anlage","Anlage",1
"Bereich","Bereich",1
"Firma","Firma",2
"BuchungsJahr","BuchungsJahr",2
"Firma","Firma",3
"Buchung","Buchung",3
"Firma","Firma",4
"Bereich","Bereich",4
"Firma","Firma",5
"Anlage","Anlage",5
"Bereich","Bereich",5
"Firma","Firma",6
"BuchungsJahr","BuchungsJahr",6
"Firma","Firma",7
"Anlage","Anlage",7
"EreignisNr","EreignisNr",7
"Firma","Firma",8
"Anlage","Anlage",8
"Bereich","Bereich",8
"Firma","Firma",9
"BuchungsJahr","BuchungsJahr",9
"Firma","Firma",10
"Anlage","Anlage",10
"AfA","VertragNr",10
"Firma","Firma",11
"Anlage","Anlage",11
"Bereich","Bereich",11
"AfA","AfA",11
"Firma","Firma",12
"Anlage","Anlage",12
"Bereich","Bereich",12
"Firma","Firma",13
"BuchungsJahr","BuchungsJahr",13
"Firma","Firma",14
"Anlage","Anlage",14
"Bereich","Bereich",14
"BuchungsJahr","BuchungsJahr",14
"Buchungsperiode","Buchungsperiode",14
"Firma","Firma",15
"BuchungsJahr","BuchungsJahr",15
"Firma","Firma",16
"Vorgang","Vorgang",16
"Firma","Firma",17
"Anlage","Anlage",17
"Bereich","Bereich",17
"Firma","Firma",18
"Vorgang","Vorgang",18
"Anlage","Anlage",18
"Bereich","Bereich",18
"Firma","Firma",19
"Anlage","Anlage",19
"AfA","VertragNr",19
"Firma","Firma",20
"Anlage","Anlage",20
"Bereich","Bereich",20
"AfA","AfA",20
"Funktion","Funktion",21
"Firma","Firma",22
"Anlage","Anlage",22
"Bereich","Bereich",22
"S_Kostenstelle_Obj","S_KostenStelle_Obj",23
"Actual_S_Kostenstelle_Obj","S_KostenStelle_Obj",24
"S_Anlage_Obj","S_Anlage_Obj",25
"AMT_InvAssetHead_Obj","AMT_InvAssetHead_Obj",26
"Firma","Firma",27
"Buchung","Buchung",27
"Firma","Firma",28
"Buchung","Buchung",28
"Firma","Firma",29
"Vorgang","Vorgang",29
"Firma","Firma",30
"Buchung","BuchungsBezug",30
"Firma","Firma",31
"BuchungsJahr","BuchungsJahr",31
"AfABasis","AfABasis",32
"Firma","Firma",33
"Anlage","Anlage",33
"Bereich","Bereich",33
"AfA","AfA",33
"Firma","Firma",34
"Anlage","Anlage",34
"Bereich","Bereich",34
"AfA","AfA",35
"AfA","AfA",36
"AfABasis","AfABasis",37
"AfA","AfA",38
"AfA","AfA",39
"ZinsBasis","AfABasis",40
"Firma","Firma",41
"Bereich","Bereich",41
"AIndex","AIndex",42
"Firma","Firma",43
"AnlageArt","AnlageArt",43
"AfA","AfA",44
"Firma","Firma",45
"AnlageArt","AnlageArt",45
"Bereich","Bereich",45
"Firma","Firma",46
"Bereich","Bereich",46
"AfA","AfA",47
"Firma","Firma",48
"Bereich","Bereich",48
"Firma","Firma",49
"Mengeneinheit","MengenEinheit",49
"Firma","Firma",50
"Bereich","Bereich",50
"Firma","Firma",51
"R_SV_BuJahr","BuchungsJahr",51
"Firma","Firma",52
"SV_BuJahr","BuchungsJahr",52
"Firma","Firma",53
"Anlage","Anlage",53
"Firma","Firma",54
"Anlage","Anlage",54
"AIndex","AIndex",55
"AfA","AfA",56
"Firma","Firma",57
"Bereich","Bereich",57
"Firma","Firma",58
"Anlage","Anlage",58
"Bereich","Bereich",58
"Firma","Firma",59
"Anlage","Anlage",59
"AfA","AfA",60
"Firma","Firma",61
"Anlage","Anlage",61
"Bereich","Bereich",61
"Firma","Firma",62
"Anlage","Anlage",62
"Bereich","Bereich",62
"Firma","Firma",63
"Anlage","Anlage",63
"Bereich","Bereich",63
"Firma","Firma",64
"Bereich","Bereich",64
"Firma","Firma",65
"VersicherungNr","VersicherungNr",65
"Firma","Firma",66
"VersicherungNr","VersicherungNr",66
"Versicherungsschein","Versicherungsschein",66
"AIndex","AIndex",67
"Firma","Firma",68
"AnlageArt","AnlageArt",68
"Firma","Firma",69
"Bereich","Bereich",69
"Firma","Firma",70
"VersicherungNr","VersicherungNr",70
"Firma","Firma",71
"VersicherungNr","VersicherungNr",71
"Versicherungsschein","Versicherungsschein",71
"Firma","Firma",72
"Anlage","Anlage",72
"AIndex","AIndex",73
"AfABasis","AfABasis",74
"Funktion","Funktion",75
"Bereich","Bereich",76
"Bereich","Bereich",77
"Firma","Firma",78
"Konto","Lieferant",78
"Firma","Firma",79
"Konto","Konto",79
"Firma","Firma",80
"Konto","Kunde",80
"Parent_FB_Buchung_Obj","FB_Buchung_Obj",81
"Firma","Firma",82
"Anlage","Anlage",82
