fk_Id,to_table,multiplicity,table_Id
0,AB_Buchung,1:cn,1
1,AB_VorgangAnlage,1:cn,2
2,S_BuchJahr,1:cn,2
3,AB_Buchung,1:cn,3
4,A_FBereich,1:cn,4
5,A_AnlageBereich,1:cn,4
6,S_BuchJahr,1:cn,4
7,A_Ereignis,1:n,4
8,A_AnlageBereich,1:cn,5
9,S_BuchJahr,1:cn,5
10,A_AnlVersVertrag,1:cn,6
11,A_AnlageBereichAfA,1:cn,6
12,A_AnlageBereich,1:cn,6
13,S_BuchJahr,1:cn,6
14,AB_Leistung,1:cn,6
15,S_BuchJahr,1:cn,7
16,AB_Vorgang,1:cn,8
17,A_AnlageBereich,1:cn,8
18,AB_VorgangAnlage,1:cn,9
19,A_AnlVersVertrag,1:cn,10
20,A_AnlageBereichAfA,1:cn,10
21,A_Funktion,1:cn,10
22,A_AnlageBereich,1:cn,10
23,S_KostenStelle,1:cn,12
24,S_KostenStelle,1:cn,12
25,S_Anlage,1:cn,12
26,AMT_InvAssetHead,1:cn,12
27,AS_Buchung_Ver,1:cn,13
28,AS_Buchung_Ver,1:cn,14
29,AB_Vorgang,1:cn,15
30,AB_BuchungBezug,1:cn,15
31,S_BuchJahr,1:cn,15
32,A_Basis,1:cn,16
33,A_AnlageBereichAfA,1:cn,16
34,A_AnlageBereich,1:cn,16
35,A_AfAArt,1:cn,16
36,A_AfAArt,1:n,18
37,A_Basis,1:cn,19
38,A_AfAArt,1:cn,19
39,A_AfAArt,1:cn,20
40,A_Basis,1:cn,21
41,A_FBereich,1:cn,21
42,A_Index,1:cn,21
43,S_AnlageArt,1:cn,21
44,A_AfAArt,1:cn,21
45,A_AnlageArtBereich,1:cn,22
46,A_FBereich,1:cn,22
47,A_AfAArt,1:cn,22
48,A_AnlageArtBereich,1:cn,23
49,S_MengenEinheit,1:cn,23
50,A_FBereich,1:cn,23
51,S_BuchJahr,1:cn,23
52,S_BuchJahr,1:cn,23
53,A_Ereignis,1:cn,23
54,S_Anlage,1:cn,23
55,A_Index,1:cn,23
56,A_AfAArt,1:cn,23
57,A_FBereich,1:cn,24
58,A_AnlageBereich,1:cn,24
59,S_Anlage,1:cn,24
60,A_AfAArt,1:cn,24
61,A_AnlageBereich,1:cn,25
62,A_AnlageBereich,1:cn,26
63,A_AnlageBereich,1:cn,28
64,A_FBereich,1:cn,29
65,A_Versicherung,1:cn,29
66,A_VersVertrag,1:cn,29
67,A_Index,1:cn,29
68,S_AnlageArt,1:cn,29
69,A_FBereich,1:cn,30
70,A_Versicherung,1:cn,30
71,A_VersVertrag,1:cn,30
72,S_Anlage,1:cn,30
73,A_Index,1:cn,30
74,A_Basis,1:n,32
75,A_Funktion,1:cn,34
76,A_Bereich,1:cn,34
77,A_Bereich,1:n,35
78,S_Lieferant,1:cn,36
79,S_Konto,1:cn,36
80,S_Kunde,1:cn,36
81,FB_Buchung,1:cn,36
82,S_Anlage,1:cn,36
83,S_BuchJahr,1:cn,37
84,A_Bereich,1:cn,37
85,A_Funktion,1:n,40
86,A_Index,1:cn,42
87,A_Index,1:n,43
88,A_KontenGruppe,1:n,45
89,S_Konto,1:cn,46
90,A_Funktion,1:cn,46
91,A_KontenGruppe,1:cn,46
92,S_KostenArt,1:cn,46
93,A_FBereich,1:cn,47
94,A_FBereich,1:cn,47
95,A_FBereich,1:cn,47
96,S_Adresse,1:cn,48
97,A_Versicherung,1:n,49
98,A_FBereich,1:cn,50
99,A_Versicherung,1:cn,50
100,A_Bereich,1:cn,50
101,A_Index,1:cn,50
102,A_VersVertrag,1:n,51
103,DRC_Field,1:cn,52
104,BBC_DynQueryTable,1:cn,52
105,DRC_Index,1:cn,53
106,DRC_Table,1:cn,53
107,DRC_Field,1:cn,53
108,DRC_Field,1:cn,53
109,BBC_DynQueryTable,1:cn,53
110,BBC_DynQueryField,1:c1,54
111,DRC_WebObject,1:cn,55
